image_path,image_R,image_G,image_B,image_S1,image_S2,image_S3,image_S4,image_S5,image_S6,image_S7,label,case
D:\Github\RGB-S\data\simulation_binary_1//images//00001,D:\Github\RGB-S\data\simulation_binary_1//images//00001_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00001_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00002,D:\Github\RGB-S\data\simulation_binary_1//images//00002_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00002_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00003,D:\Github\RGB-S\data\simulation_binary_1//images//00003_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00003_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00004,D:\Github\RGB-S\data\simulation_binary_1//images//00004_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00004_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00005,D:\Github\RGB-S\data\simulation_binary_1//images//00005_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00005_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00006,D:\Github\RGB-S\data\simulation_binary_1//images//00006_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00006_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00007,D:\Github\RGB-S\data\simulation_binary_1//images//00007_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00007_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00008,D:\Github\RGB-S\data\simulation_binary_1//images//00008_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00008_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00009,D:\Github\RGB-S\data\simulation_binary_1//images//00009_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00009_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//00010,D:\Github\RGB-S\data\simulation_binary_1//images//00010_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00010_07.png,0,Train
